"IdGenotype","IdProgeny","Site","Plot","LineNumber","TreeNumber","IdTrunk","ObservationDate","BottomPeriphery","OneAndHalfMeterPeriphery","TwoMeterPeriphery","Height","LengthWoodDensitySampleOne","WoodDensityDryWeightSampleOne","LengthWoodDensitySampleTwo","WoodDensityDryWeightSampleTwo","PlantingDate","MAP","TreeId"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2023-02-23,294,248,239,3.85,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","19","Stipe_SMSE_B22_106_19",2024-01-27,270,255,257,4.57,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE02_106_19"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2018-01-22,275,NA,NA,1.64,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2019-01-30,285,250,NA,2.15,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2020-02-22,281,257,NA,2.64,19.1,0.4,18,0.8,2011-01-01,109,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2021-01-22,280,260,259,3.42,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2022-01-26,270,250,256,3.61,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2023-02-23,285,253,254,4.52,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","20","Stipe_SMSE_B22_106_20",2024-01-27,288,270,278,4.89,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE02_106_20"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2018-01-22,297,NA,NA,1.68,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2019-01-30,300,250,NA,2.12,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2020-02-22,303,251,NA,2.73,18.2,0.8,16.6,0.6,2011-01-01,109,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2021-01-22,305,263,258,3.3,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2022-01-26,294,257,255,3.85,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2023-02-23,312,252,249,4.36,NA,NA,NA,NA,2011-01-01,145,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","106","21","Stipe_SMSE_B22_106_21",2024-01-27,305,267,252,4.8,NA,NA,NA,NA,2011-01-01,156,"SMSE_B22_GE02_106_21"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2014-10-07,270,NA,NA,0.69,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2015-01-21,247,NA,NA,0.77,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2016-01-25,251,NA,NA,0.92,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2017-01-19,260,NA,NA,1.27,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2018-01-12,284,NA,NA,1.75,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2019-01-17,296,261,NA,2.3,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2020-02-01,277,269,NA,2.75,14.9,0.6,16,0.4,2011-01-01,109,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2021-01-13,282,271,274,3.25,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2022-01-14,282,278,273,3.75,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2023-01-20,274,271,265,4.53,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","42","20","Stipe_SMSE_B22_42_20",2023-12-29,281,270,270,4.8,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE02_42_20"
"GE02","PO9633","SMSE","B22","4","10","Stipe_SMSE_B22_4_10",2020-01-16,251,276,NA,2.31,20.7,0.5,18.2,0.4,2011-01-01,108,"SMSE_B22_GE02_4_10"
"GE02","PO9633","SMSE","B22","4","10","Stipe_SMSE_B22_4_10",2021-01-05,225,254,244,2.84,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE02_4_10"
"GE02","PO9633","SMSE","B22","4","10","Stipe_SMSE_B22_4_10",2022-01-07,244,273,265,3.36,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE02_4_10"
"GE02","PO9633","SMSE","B22","4","10","Stipe_SMSE_B22_4_10",2023-01-05,237,263,263,3.68,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE02_4_10"
"GE02","PO9633","SMSE","B22","4","10","Stipe_SMSE_B22_4_10",2023-12-16,233,270,270,4.2,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE02_4_10"
"GE02","PO9633","SMSE","B22","4","8","Stipe_SMSE_B22_4_8",2014-09-09,237,NA,NA,0.59,NA,NA,NA,NA,2011-01-01,44,"SMSE_B22_GE02_4_8"
"GE02","PO9633","SMSE","B22","4","8","Stipe_SMSE_B22_4_8",2015-01-05,215,NA,NA,0.75,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE02_4_8"
