TreeId,MAP,Site,IdGenotype,sum_stalk_biomass_mes,Cumulated_stalk_biomass_mes,Date
SMSE_B22_1_GE02_4_8,44,SMSE,GE02,0.2398095072564528,2.5002252895957335,2014-09-01
SMSE_B22_1_GE02_4_8,45,SMSE,GE02,0.181161085793541,2.6813863753892746,2014-10-01
SMSE_B22_1_GE02_4_8,46,SMSE,GE02,0.547416222987786,3.2288025983770607,2014-11-03
SMSE_B22_1_GE02_4_8,48,SMSE,GE02,0.5045000941442292,3.73330269252129,2015-01-05
SMSE_B22_1_GE02_4_8,49,SMSE,GE02,0.54756019119032,4.2808628837116105,2015-02-02
SMSE_B22_1_GE02_4_8,50,SMSE,GE02,0.51830234873147,4.79916523244308,2015-03-02
SMSE_B22_1_GE02_4_8,51,SMSE,GE02,0.4283315213170769,5.227496753760157,2015-04-13
SMSE_B22_1_GE02_4_8,52,SMSE,GE02,0.878224598930482,6.105721352690638,2015-05-04
SMSE_B22_1_GE02_4_8,55,SMSE,GE02,0.628654104120089,6.734375456810728,2015-08-24
SMSE_B22_1_GE02_4_8,56,SMSE,GE02,0.775781169943993,7.510156626754721,2015-09-07
SMSE_B22_1_GE02_4_8,57,SMSE,GE02,0.765273808400188,8.27543043515491,2015-10-05
SMSE_B22_1_GE02_4_8,58,SMSE,GE02,0.5089921121822962,8.784422547337206,2015-11-02
SMSE_B22_1_GE02_4_8,59,SMSE,GE02,0.6690270426888161,9.453449590026022,2015-12-21
SMSE_B22_1_GE02_4_8,60,SMSE,GE02,0.761710042240087,10.21515963226611,2016-01-04
SMSE_B22_1_GE02_4_8,61,SMSE,GE02,0.48539130434782596,10.700550936613936,2016-02-09
SMSE_B22_1_GE02_4_8,68,SMSE,GE02,0.8947841780718906,11.595335114685827,2016-09-13
SMSE_B22_1_GE02_4_8,69,SMSE,GE02,1.62535195165768,13.220687066343508,2016-10-17
SMSE_B22_1_GE02_4_8,70,SMSE,GE02,1.3284851388179189,14.549172205161428,2016-11-01
SMSE_B22_1_GE02_4_8,75,SMSE,GE02,1.2476923076923079,15.796864512853736,2017-04-17
SMSE_B22_1_GE02_4_8,76,SMSE,GE02,1.469965867465872,17.266830380319607,2017-05-02
SMSE_B22_1_GE02_4_8,77,SMSE,GE02,1.711453388372892,18.9782837686925,2017-06-06
SMSE_B22_1_GE02_4_8,78,SMSE,GE02,1.3708729660291161,20.349156734721614,2017-07-17
SMSE_B22_1_GE02_4_8,79,SMSE,GE02,1.5681815889029012,21.917338323624517,2017-08-07
SMSE_B22_1_GE02_4_8,83,SMSE,GE02,0.61875,22.536088323624515,2017-12-18
SMSE_B22_1_GE02_4_8,84,SMSE,GE02,1.2848076449436001,23.820895968568117,2018-01-02
SMSE_B22_1_GE02_4_8,85,SMSE,GE02,1.085292060421162,24.906188028989277,2018-02-12
SMSE_B22_1_GE02_4_8,86,SMSE,GE02,1.662458971924591,26.568647000913867,2018-03-12
SMSE_B22_1_GE02_4_8,87,SMSE,GE02,1.2019947032117044,27.77064170412557,2018-04-09
SMSE_B22_1_GE02_4_8,88,SMSE,GE02,1.149957622981238,28.920599327106807,2018-05-28
SMSE_B22_1_GE02_4_8,89,SMSE,GE02,1.116719363435765,30.037318690542573,2018-06-25
