Site,TreeId,MAP,IdGenotype,Date,BunchMass,DryMesocarpOilContent,MesocarpsSampleWC,n_of_fruit,biomass_fresh_fruit,biomass_dry_fruit,stalk_dry_biomass,stalk_fresh_biomass
PR,PR_G5-1_1_GE09_4_9,47,GE09,2014-04-28,12.200000000000001,75.655,0.327875,1424,2.366,0.6783381538178006,1.0123073641231786,2.997
PR,PR_G5-1_3_GE02_50_4,47,GE02,2014-04-23,10.399999999999999,,,,,,,
PR,PR_G5-1_4_GE03_53_18,47,GE03,2014-04-14,7.4,,,,,,,
PR,PR_G5-1_4_GE03_53_19,47,GE03,2014-04-23,9.0,83.36,0.21375,,,,,1.4180000000000001
PR,PR_G5-1_4_GE03_53_20,47,GE03,2014-04-23,11.8,,,,,,,
PR,PR_G5-1_4_GE09_54_4,47,GE09,2014-04-14,8.4,73.27,0.4535,,,,,1.6320000000000001
PR,PR_G5-1_4_GE09_54_5,47,GE09,2014-04-04,8.0,75.22,0.37775,,,,,1.294
PR,PR_G5-1_4_GE09_54_6,47,GE09,2014-04-14,0.6,76.8,0.33675,,,,,0.22599999999999998
PR,PR_G5-1_4_GE06_58_6,47,GE06,2014-04-23,11.2,76.03,0.42275,,,,,1.198
PR,PR_G5-1_4_GE06_59_3,47,GE06,2014-04-23,5.800000000000001,73.72,0.33325,,,,,0.638
PR,PR_G5-1_4_GE06_59_5,47,GE06,2014-04-23,8.6,77.16,0.29675,,,,,1.4480000000000002
PR,PR_G5-1_4_GE12_64_10,47,GE12,2014-04-07,9.2,79.75,0.296,,,,,1.0619999999999998
PR,PR_G5-1_4_GE12_64_11,47,GE12,2014-04-25,1.8,81.5,0.30175,,,,,0.7040000000000001
PR,PR_G5-1_4_GE16_64_4,47,GE16,2014-04-25,13.0,84.0,0.3855,,,,,2.044
PR,PR_G5-1_4_GE16_64_5,47,GE16,2014-04-07,8.8,81.82,0.3725,,,,,2.472
PR,PR_G5-1_4_GE16_64_6,47,GE16,2014-04-16,12.8,80.47,0.288,,,,,1.556
PR,PR_G5-1_4_GE12_64_9,47,GE12,2014-04-25,4.2,81.32,0.30075,,,,,0.874
PR,PR_G5-1_5_GE09_69_10,47,GE09,2014-04-25,4.199999999999999,81.86,0.295,,,,,0.624
PR,PR_G5-1_5_GE12_69_19,47,GE12,2014-04-07,8.6,81.15,0.24925,,,,,1.3800000000000001
PR,PR_G5-1_5_GE12_69_20,47,GE12,2014-04-16,8.600000000000001,81.84,0.46475,,,,,1.3659999999999999
PR,PR_G5-1_5_GE09_69_8,47,GE09,2014-04-25,15.8,81.7,0.302,,,,,1.132
